theta,phi,acc_x,acc_y,acc_z,abs_a,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,theta_phi,label
6.802,-155.336,-98,-45,904,910.409,8890,-46270,118440,12896,162.138,swipe left
6.211,-106.654,-35,-117,1122,1128.626,3220,-14840,-1400,14459,112.865,swipe left
94.105,38.031,1997,1562,-182,2541.845,-54600,-13860,343280,22116,56.074,swipe left
66.615,-179.541,-1998,-16,864,2176.868,-64820,28910,-661080,10082,246.156,swipe left
49.393,-137.204,-499,-462,583,895.73,52500,-57330,503510,10605,186.597,swipe left
12.928,-124.679,-128,-185,980,1005.489,-17990,-7630,-9940,10505,137.607,swipe left
88.276,45,1997,1997,85,2825.463,-50260,-12880,57120,15082,43.276,swipe left
97.916,-177.964,-1998,-71,-278,2018.496,-66150,162960,-473970,23057,275.88,swipe left
48.389,-140.473,-812,-670,935,1408.001,150780,-176190,565810,-12690,188.862,swipe left
14.068,-130.189,-185,-219,1144,1179.373,-8260,-4690,-17360,9318,144.257,swipe left
95.058,45,1997,1997,-250,2835.228,-35910,-63910,182070,49883,50.058,swipe left
71.904,138.573,-1565,1381,682,2195.793,-78610,237160,-719670,-842,-66.669,swipe left
37.019,-119.01,-305,-550,834,1044.548,135380,-198170,629510,-11218,156.029,swipe left
16.729,-61.862,146,-273,1030,1075.52,-3780,-52150,-90230,49003,78.591,swipe left
56.957,-162.865,-1998,-616,1360,2494.205,-48720,26740,256830,-16067,219.822,swipe left
63.799,22.151,1997,813,1061,2403.06,37660,58800,-162960,-15091,41.648,swipe left
5.516,-20.998,99,-38,1098,1103.108,-10290,-19110,-36540,14650,26.514,swipe left
14.973,-46.66,201,-213,1095,1133.488,-19880,-10780,-61600,26157,61.633,swipe left
47.247,157.588,-1998,824,1998,2943.294,183820,-74900,481950,11969,-110.341,swipe left
70.317,44.985,1997,1996,1010,2998.687,-99120,262220,-1082760,6196,25.332,swipe left
50.855,-148.926,-765,-461,727,1151.64,-91140,-165900,653520,-19501,199.781,swipe left
14.081,-88.251,8,-262,1045,1077.373,-420,-11620,-18130,17571,102.332,swipe left
79.796,155.893,-1998,894,394,2224.067,56560,-20720,562380,35620,-76.097,swipe left
54.776,45,1997,1997,1994,3457.174,-7560,114800,-862190,5084,9.776,swipe left
36.077,-146.739,-619,-406,1016,1257.081,-56910,-94920,286230,-26613,182.816,swipe left
4.786,71.131,27,79,997,1000.489,11200,6090,-18900,12357,-66.345,swipe left
50.408,104.347,-409,1599,1365,2141.8,-43400,-119770,556360,23906,-53.939,swipe left
45.272,8.093,1997,284,1998,2839.131,137200,192850,-800170,2888,37.179,swipe left
39.039,174.381,-803,79,995,1281.044,-98420,-84980,269850,-31742,-135.342,swipe left
13.97,-65.736,119,-264,1164,1199.48,-16730,-11690,-69930,30456,79.706,swipe left
51.39,142.992,-1998,1506,1998,3201.881,134750,-48370,755090,-13749,-91.602,swipe left
55.921,44.155,1997,1939,1883,3360.568,-9940,198030,-1213730,-4065,11.766,swipe left
47.95,-152.052,-950,-504,970,1448.245,-125510,-138460,571760,25639,200.002,swipe left
11.782,-82.532,27,-206,996,1017.438,-4340,4760,-22190,14595,94.314,swipe left
68.489,126.823,-1469,1962,966,2634.494,137970,-81830,740670,23084,-58.334,swipe left
58.308,54.91,1391,1980,1494,2843.82,-126000,201530,-1260140,-15530,3.398,swipe left
20.498,-103.518,-113,-470,1293,1380.405,1260,-151690,603470,1578,124.016,swipe left
22.495,-85.721,30,-401,971,1050.971,-3290,3220,-29050,28016,108.216,swipe left
48.56,151.985,-1998,1063,1998,3018.936,110600,-95900,335160,6424,-103.425,swipe left
55.555,45,1997,1997,1937,3424.614,-105910,141050,-557130,19406,10.555,swipe left
20.546,-139.511,-376,-321,1319,1408.608,18690,-100660,257320,-8082,160.057,swipe left
16.12,-119.652,-152,-267,1063,1106.508,-18410,-14770,-39970,45892,135.772,swipe left
97.391,44.624,1997,1971,-364,2829.372,39760,-15050,489580,5270,52.767,swipe left
78.948,174.539,-1998,191,392,2045.03,-143360,211540,-848050,-21197,-95.591,swipe left
46.469,-132.03,-530,-588,752,1091.855,126350,-230160,538160,15581,178.499,swipe left
23.661,-68.878,141,-365,893,974.964,-23100,-15680,-38360,17054,92.539,swipe left
51.822,141.84,-1998,1570,1998,3232.477,62650,-54390,649880,-13941,-90.018,swipe left
60.011,44.58,1997,1968,1618,3237.121,23380,157710,-898240,20627,15.431,swipe left
37.294,-136.097,-585,-563,1066,1339.981,-71400,-112350,284620,-15684,173.391,swipe left
16.802,-120.335,-158,-270,1036,1082.201,-11480,-13230,-35070,35251,137.137,swipe left
54.593,135.302,-1998,1977,1998,3448.555,249130,-15190,829780,-8528,-80.709,swipe left
54.58,44.229,1997,1944,1982,3419.863,-120470,89390,-1074500,-15508,10.351,swipe left
33.945,-127.011,-389,-516,960,1157.228,-115080,-82950,277410,9941,160.956,swipe left
20.501,-95.099,-34,-381,1023,1092.174,-3780,-35280,-76860,45022,115.6,swipe left
49.394,149.01,-1998,1200,1998,3069.854,63630,-3780,349790,11358,-99.616,swipe left
54.546,44.624,1997,1971,1998,3444.539,-7840,59150,-430080,-28712,9.922,swipe left
30.672,-140.13,-437,-365,960,1116.151,-65380,-37730,188580,9746,170.802,swipe left
15.65,-99.921,-53,-303,1098,1140.272,-10220,-23800,-65730,36607,115.571,swipe left
67.627,120.705,-1186,1997,956,2511.68,315280,-86800,1097740,-7867,-53.078,swipe left
56.865,57.067,1221,1885,1466,2682.018,-261170,216370,-1590400,12271,-0.202,swipe left
46.072,-139.842,-749,-632,944,1360.72,-60340,-104230,564970,-31544,185.914,swipe left
9.31,-81.585,25,-169,1042,1055.911,2590,-4970,-2800,1155,90.895,swipe left
76.958,39.904,1997,1670,603,2672.174,-72730,-23380,361620,12301,37.054,swipe left
66.253,-173.32,-1998,-234,885,2197.722,-13020,107730,-732200,-2046,239.573,swipe left
49.529,-132.655,-328,-356,413,636.308,107170,-132650,503790,33352,182.184,swipe left
7.762,-140.247,-107,-89,1021,1030.442,910,-420,490,663,148.009,swipe left
45.013,1.748,1998,61,1998,2826.257,-61320,217280,7140,42125,43.265,swipe left
99.131,149.69,-1998,1168,-372,2344.058,34510,-169400,-337400,8824,-50.559,swipe left
16.4,9.865,437,76,1507,1570.921,23380,-66780,346430,-26106,6.535,swipe left
12.335,168.124,-214,45,1000,1023.631,-6370,-13160,1400,-7121,-155.789,swipe left
62.807,128.719,-1601,1997,1315,2877.574,-35280,-17780,605010,42166,-65.912,swipe left
58.447,-6.962,1998,-244,1236,2362.04,57750,56350,-779240,-2386,65.409,swipe left
29.128,177.142,-561,28,1008,1153.936,-25620,-28420,206430,-34301,-148.014,swipe left
7.432,-170.98,-126,-20,978,986.285,2870,-1680,-4410,3236,178.412,swipe left
54.005,32.283,1996,1261,1715,2918.109,-168770,-98070,495040,51292,21.722,swipe left
54.701,43.479,1895,1797,1849,3199.849,400120,226240,-1083810,-20873,11.222,swipe left
54.303,170.033,-865,152,631,1081.429,-260470,-151900,688450,5256,-115.73,swipe left
8.843,180,-159,0,1022,1034.294,7000,1330,-8120,5950,-171.157,swipe left
45.119,-5.233,1998,-183,1998,2831.518,-44380,163380,136360,17953,50.352,swipe left
104.042,135.976,-1998,1931,-695,2864.225,-7980,-120540,-545790,-6600,-31.934,swipe left
5.404,-176.566,-100,-6,1059,1063.727,28420,-66080,463960,21970,181.97,swipe left
9.451,-177.54,-163,-7,980,993.487,14630,3360,-51030,50830,186.991,swipe left
46.038,15.337,1998,548,1998,2878.248,-129500,189140,266980,5360,30.701,swipe left
108.374,120.462,-1044,1775,-684,2169.888,148190,-84630,-795970,-54032,-12.088,swipe left
4.533,146.534,-59,39,892,894.799,-50330,-149030,683550,54019,-142.001,swipe left
9.04,-164.589,-156,-43,1017,1029.793,210,-560,-3360,3230,173.629,swipe left
49.574,31.914,1991,1240,1998,3081.182,-161000,-74270,459480,53195,17.66,swipe left
47.327,22.729,1998,837,1997,2946.282,355670,228130,-1018920,-45246,24.598,swipe left
32.127,176.014,-488,34,779,919.859,-216300,-168560,644280,32348,-143.887,swipe left
18.959,-178.873,-305,-6,888,938.938,18270,29190,-36050,45368,197.832,swipe left
74.828,132.965,-1860,1997,740,2827.58,-276360,-178710,697340,10563,-58.137,swipe left
45.196,-6.708,1998,-235,1998,2835.354,339360,200690,-784490,-3230,51.904,swipe left
30.119,-174.805,-561,-51,971,1122.569,-92050,-49840,165900,-16327,204.924,swipe left
14.113,-172.903,-249,-31,998,1029.06,280,-4340,-4060,5755,187.016,swipe left
45.538,-11.072,1998,-391,1998,2852.523,49630,129430,-13790,20897,56.61,swipe left
104.584,135.014,-1998,1997,-735,2918.944,-61880,-80570,-498820,18038,-30.43,swipe left
12.521,16.609,352,105,1654,1694.297,45150,-71680,559860,9882,-4.088,swipe left
4.267,-141.458,-59,-47,1011,1013.81,5460,-1400,630,1902,145.725,swipe left
45.46,-10.241,1998,-361,1998,2848.566,-42140,149170,147210,6223,55.701,swipe left
92.235,88.451,54,1997,-78,1999.252,192010,3920,-854210,9682,3.784,swipe left
15.939,152.44,-297,155,1173,1219.902,-180670,-226520,814030,-3875,-136.501,swipe left
4.993,-156.297,-82,-36,1025,1028.904,3430,-1330,1470,-689,161.29,swipe left
50.776,55.941,918,1358,1338,2115.923,-148820,-70280,468720,37204,-5.165,swipe left
45.105,-4.92,1998,-172,1998,2830.828,252560,122780,-738640,10865,50.025,swipe left
53.362,176.501,-965,59,719,1204.851,-122990,-43190,323050,-3006,-123.139,swipe left
13.354,180,-245,0,1032,1060.683,3850,2170,-12460,10941,-166.646,swipe left
54.891,44.899,1997,1990,1982,3446.22,-223930,-92890,659540,-1019,9.992,swipe left
47.103,21.697,1998,795,1998,2935.308,461860,270340,-1192170,22935,25.406,swipe left
31.094,171.386,-647,98,1085,1267.058,-255220,-207130,616700,-6379,-140.292,swipe left
23.472,174.592,-412,39,953,1038.977,11550,13510,-38430,35542,-151.12,swipe left
46.348,17.448,1998,628,1998,2894.545,-124250,83860,304080,-12039,28.9,swipe left
85.445,29.685,1756,1001,161,2027.673,232680,-43680,-898660,20077,55.76,swipe left
47.003,173.508,-958,109,899,1318.273,-123410,-46760,674170,-10224,-126.505,swipe left
17.165,178.392,-285,8,923,966.032,9030,10500,-4970,6470,-161.227,swipe left
45.681,12.446,1998,441,1998,2859.805,-122780,65100,327740,25417,33.235,swipe left
93.195,124.936,-1395,1997,-136,2439.78,203070,5950,-880390,-27901,-31.741,swipe left
18.993,128.692,-173,216,804,850.294,-141400,-157640,672000,31015,-109.699,swipe left
9.753,-169.295,-164,-31,971,985.24,4410,12320,-25620,16216,179.048,swipe left
52.28,-4.464,1998,-156,1550,2533.542,-420,87010,-38990,28892,56.744,swipe left
56.243,135.014,-1998,1997,1888,3397.728,63210,39830,-412160,1882,-78.771,swipe left
19.243,5.302,528,49,1519,1608.895,-73850,-192990,552440,-32063,13.941,swipe left
2.114,-72.897,12,-39,1105,1105.753,9730,15890,-24080,24589,75.011,swipe left
45.044,3.208,1998,112,1998,2827.817,2450,164080,-79590,29978,41.836,swipe left
105.123,135.201,-1998,1984,-761,2916.741,-83300,-115430,-291200,-38311,-30.078,swipe left
35.455,-3.314,846,-49,1190,1460.895,65450,-106540,413140,26693,38.769,swipe left
16.477,169.039,-284,55,978,1019.884,560,30030,-53900,57500,-152.562,swipe left
54.22,43.889,1998,1922,1998,3417.322,-111440,-142100,627830,-436,10.331,swipe left
45.077,4.207,1998,147,1998,2829.419,294420,260470,-987490,-44951,40.87,swipe left
44.078,179.222,-884,12,913,1270.892,-183120,-154910,466410,33648,-135.144,swipe left
18.373,8.257,379,55,1153,1214.938,9800,28840,14350,-9966,10.116,swipe left
54.81,135.014,-1998,1997,1992,3456.599,-262710,-314720,1213240,-11084,-80.204,swipe left
39.882,-5.735,1593,-160,1916,2496.859,259700,286720,-1189230,14936,45.617,swipe left
18.508,-166.917,-284,-66,871,918.505,-11200,15330,14280,-13228,185.425,swipe left
14.315,146.25,-223,149,1051,1084.68,16520,22050,-52640,-22548,-131.935,swipe left
64.052,58.39,1229,1997,1141,2607.744,-173040,-100170,721700,22765,5.662,swipe left
45.008,-1.433,1998,-50,1998,2826.041,307230,157640,-939120,-42575,46.441,swipe left
36.124,-177.113,-476,-24,653,808.431,-146580,-66850,300650,15453,213.237,swipe left
17.548,152.119,-310,164,1109,1163.132,13090,22260,-81620,36244,-134.571,swipe left
52.406,39.584,1998,1652,1996,3271.868,-106680,-1190,453110,-6455,12.822,swipe left
60.365,16.266,1998,583,1184,2394.524,266140,65310,-814800,-19257,44.099,swipe left
52.667,173.99,-798,84,612,1009.16,-195370,-105910,532910,-17794,-121.323,swipe left
10.188,-176.775,-213,-12,1187,1206.019,-1050,-4970,17430,-15480,186.963,swipe left
50.977,11.431,1998,404,1652,2623.799,-68950,48930,181160,55451,39.546,swipe left
76.858,99.034,-263,1654,391,1719.815,138950,49000,-769090,-7096,-22.176,swipe left
4.988,-7.431,92,-12,1063,1067.041,-99260,-141400,652680,-4760,12.419,swipe left
7.282,-98.13,-18,-126,996,1004.099,4480,490,3080,-1014,105.412,swipe right
76.519,162.212,-1998,641,503,2157.751,-99890,-41370,-347480,36159,-85.693,swipe right
72.863,44.985,1998,1997,871,2956.121,245280,-103530,1232630,16537,27.878,swipe right
2.561,-39.522,40,-33,1159,1160.159,-133280,181230,-923300,-7633,42.083,swipe right
11.262,-25.651,177,-85,986,1005.36,350,1470,10080,6837,36.913,swipe right
62.975,140.381,-1998,1654,1323,2911.708,-191030,122360,-620130,15073,-77.406,swipe right
50.218,146.369,-1998,1329,1998,3122.538,437640,-335510,1526630,18888,-96.151,swipe right
4.056,-46.023,55,-57,1117,1119.804,-254030,258230,-933800,-6107,50.079,swipe right
3.751,-81.384,10,-66,1018,1020.186,7490,-8960,40880,40457,85.135,swipe right
62.62,44.985,1998,1997,1463,3181.254,-146370,173880,-1053920,4355,17.635,swipe right
40.575,179.024,-1644,28,1920,2527.829,137620,-77980,836850,-7068,-138.449,swipe right
10.893,-47.121,143,-154,1092,1112.038,-11760,-54600,127190,9079,58.014,swipe right
7.757,-92.544,-6,-135,992,1001.161,-770,4340,-5460,1341,100.301,swipe right
57.375,-166.925,-1998,-464,1313,2435.419,9520,-73920,223510,35634,224.3,swipe right
88.114,44.985,1998,1997,93,2826.422,-62580,19110,127260,-7035,43.129,swipe right
72.414,-166.149,-1740,-429,568,1879.964,39480,21420,-388430,21895,238.563,swipe right
6.986,-102.862,-29,-127,1063,1070.952,-1260,2030,22470,18969,109.848,swipe right
50.721,150.205,-1998,1144,1883,2974.294,-136500,116830,-588000,3385,-99.484,swipe right
52.148,116.691,-1004,1997,1737,2830.758,464310,-199850,1837290,24126,-64.543,swipe right
15.524,-6.905,289,-35,1048,1087.681,-314650,115150,-1278900,-22001,22.429,swipe right
19.047,-151.927,-315,-168,1034,1093.894,14560,-32130,34580,49318,170.974,swipe right
60.008,135,-1997,1997,1630,3260.815,-134820,130480,-854490,-46922,-74.992,swipe right
75.835,79.864,357,1997,512,2092.271,353500,-219380,1577800,57178,-4.029,swipe right
11.571,-122.005,-130,-208,1198,1222.852,-261730,167160,-727720,-2748,133.576,swipe right
8.921,-79.534,29,-157,1017,1029.455,70,4970,-1610,-1837,88.455,swipe right
50.225,-170.963,-1572,-250,1325,2071.064,-15890,-8400,196490,39967,221.188,swipe right
100.645,44.985,1998,1997,-531,2874.364,-355530,-196070,-774900,-30094,55.66,swipe right
55.95,-166.375,-1477,-358,1027,1834.236,414470,198940,507150,26067,222.325,swipe right
10.657,-56.929,84,-129,818,832.358,-55020,19530,45640,-11150,67.586,swipe right
9.256,-21.014,164,-63,1078,1092.222,6860,-6580,93030,29712,30.27,swipe right
69.29,89.454,19,1997,755,2135.039,-192640,140420,-838460,-6238,-20.164,swipe right
49.357,149.137,-1998,1194,1998,3067.514,453390,-236110,1816570,9513,-99.78,swipe right
18.749,-156.926,-277,-118,887,936.708,-276920,125160,-1068830,-16745,175.675,swipe right
7.907,-68.198,52,-130,1008,1017.677,2520,-1890,5810,5180,76.105,swipe right
47.47,-170.537,-1998,-333,1858,2748.646,-26530,-93450,-76790,34045,218.007,swipe right
76.178,44.985,1998,1997,695,2909.13,61950,-21350,-439180,-6155,31.193,swipe right
25.888,-145.421,-589,-406,1474,1638.423,-33460,163100,473760,16213,171.309,swipe right
14.159,-154.405,-238,-114,1046,1078.775,10920,-20300,103530,56979,168.564,swipe right
70.036,55.901,1352,1997,876,2565.791,-176610,147420,-1132950,-3969,14.135,swipe right
45.001,-179.34,-1998,-23,1998,2825.692,190330,30030,1016190,-6288,224.341,swipe right
12.51,-114.012,-94,-211,1041,1066.319,-6370,-840,490,2387,126.522,swipe right
50.762,-177.778,-1598,-62,1306,2064.723,-5670,-23240,264670,42258,228.54,swipe right
56.85,44.985,1998,1997,1845,3374.023,-245700,-97650,-1305290,5617,11.865,swipe right
20.823,-128.887,-271,-336,1135,1214.315,270200,115220,839860,-9262,149.71,swipe right
9.275,-51.766,104,-132,1029,1042.631,700,-1890,23800,23696,61.041,swipe right
55.674,153.757,-1998,985,1521,2697.344,-48580,38360,-559860,30894,-98.083,swipe right
89.206,45.187,1984,1997,39,2815.277,479430,-34300,1565130,-19498,44.019,swipe right
45.7,-161.472,-925,-310,952,1363.095,-440300,22890,-983780,15068,207.172,swipe right
8.104,-101.702,-29,-140,1004,1014.128,-490,1750,4340,3591,109.806,swipe right
55.229,-175.706,-1998,-150,1391,2439.136,-13720,-420,-172340,50795,230.935,swipe right
114.258,44.985,1998,1997,-1273,3098.474,69090,-68110,1183000,-2831,69.273,swipe right
31.934,-146.125,-429,-288,829,976.844,-76160,115640,-1024170,-11688,178.059,swipe right
3.366,-152.152,-53,-28,1019,1020.761,5530,0,-2590,-1578,155.518,swipe right
59.884,-177.535,-1998,-86,1160,2311.925,-83720,-115080,-187250,19967,237.419,swipe right
80.256,49.944,1679,1997,448,2647.216,224420,137900,928480,36321,30.312,swipe right
9.657,176.463,-178,11,1048,1063.065,-113470,-17710,-761600,-28464,-166.806,swipe right
3.015,-48.179,34,-38,968,969.342,-980,5110,17360,16005,51.194,swipe right
45.128,-174.567,-1998,-190,1998,2831.979,-41580,-73780,-158060,2947,219.695,swipe right
85.567,44.985,1998,1997,219,2833.367,145390,113610,843920,27549,40.582,swipe right
14.003,20.746,198,75,849,875.002,-114100,-30940,-812210,6217,-6.743,swipe right
2.754,-103.448,-11,-46,983,984.137,350,3920,10500,9755,106.202,swipe right
47.066,179.028,-1769,30,1646,2416.521,16310,-10640,168490,49048,-131.962,swipe right
93.14,44.985,1998,1997,-155,2829.14,26530,-3360,141050,-45686,48.155,swipe right
50.111,-168.154,-1130,-237,965,1504.757,-43260,-11130,-366310,28905,218.265,swipe right
3.058,-88.919,1,-53,992,993.415,-1680,5670,8190,7046,91.977,swipe right
57.834,-171.966,-1998,-282,1269,2383.671,-78190,-22820,100100,35215,229.8,swipe right
78.079,65.312,918,1997,464,2246.336,253960,-21350,762790,-23030,12.767,swipe right
6.735,-150.561,-101,-57,982,988.824,-181650,31220,-932050,32256,157.296,swipe right
2.793,-46.735,32,-34,957,958.138,3640,3360,20510,20863,49.528,swipe right
59.033,142.323,-1563,1207,1185,2303.05,-123270,-62790,-624260,24667,-83.29,swipe right
52.317,140.568,-1998,1643,1998,3268.555,365120,95550,1622530,-6625,-88.251,swipe right
4.63,-126.326,-50,-68,1042,1045.412,-231980,-15400,-1033060,-15865,130.956,swipe right
8.859,117.631,-78,149,1079,1092.028,-13790,38290,119560,20007,-108.772,swipe right
54.728,44.985,1998,1997,1998,3460.06,-32270,291270,-1375430,28368,9.743,swipe right
35.646,-169.041,-878,-170,1247,1534.533,55230,-387730,1149960,-51108,204.687,swipe right
13.905,-12.757,212,-48,878,904.506,-24080,71120,94570,9754,26.662,swipe right
3.901,-92.526,-3,-68,998,1000.318,7000,10220,19950,20835,96.427,swipe right
55.04,166.274,-1998,488,1438,2509.58,-57190,12810,-391230,7729,-111.234,swipe right
55.14,117.554,-1042,1997,1569,2745.092,294350,-45990,1362620,15890,-62.414,swipe right
4.334,-139.685,-66,-56,1142,1145.275,-227570,36750,-989240,-32356,144.019,swipe right
9.318,-171.078,-172,-27,1061,1075.19,-11620,19460,21980,29310,180.396,swipe right
54.728,44.985,1998,1997,1998,3460.06,-55650,32480,-1070790,24731,9.743,swipe right
2.029,108.434,-16,48,1428,1428.896,181440,-131950,713650,-2607,-106.405,swipe right
7.173,-52.171,66,-85,855,861.745,-112700,73640,353220,-33319,59.344,swipe right
6.271,-139.844,-96,-81,1143,1149.88,-10500,-5180,136710,17544,146.115,swipe right
65.022,165.815,-1998,505,960,2273.461,-29470,-123060,-402850,-41740,-100.793,swipe right
66.312,122.167,-1256,1997,1035,2576.192,201950,-2170,1797670,40960,-55.855,swipe right
15.789,9.283,312,51,1118,1161.838,-98700,156730,-1515080,-43599,6.506,swipe right
13.582,154.663,-245,116,1122,1154.281,-2380,-3710,84770,35623,-141.081,swipe right
48.909,60.649,1123,1997,1998,3039.924,-59430,314510,-1343650,-19653,-11.74,swipe right
98.137,-172.755,-1998,-254,-288,2034.567,-35770,-204190,1088010,15873,270.892,swipe right
9.234,-140.305,-153,-127,1223,1239.058,104860,-112280,150010,-49241,149.539,swipe right
6.162,-122.932,-57,-88,971,976.644,11900,11900,13860,13555,129.094,swipe right
40.15,-177.158,-1370,-68,1626,2127.298,-66360,94640,230300,42256,217.308,swipe right
91.762,77.273,451,1997,-63,2048.262,-159950,-449890,997710,-51613,14.489,swipe right
23.831,-156.214,-270,-119,668,730.263,237860,351890,-1227520,13958,180.045,swipe right
8.178,-130.471,-93,-109,997,1007.243,10850,1400,3150,4869,138.649,swipe right
60.672,-165.384,-1998,-521,1160,2368.342,-30660,99540,-84490,38248,226.056,swipe right
72.429,131.244,-1751,1997,841,2785.909,173530,-157780,1320550,-25090,-58.815,swipe right
7.426,-147.075,-122,-79,1115,1124.433,-116760,60060,-1219610,16972,154.501,swipe right
7.543,-157.166,-114,-48,934,942.154,-18060,33670,20230,38411,164.709,swipe right
52.526,-172.472,-1279,-169,989,1625.583,-12460,-11340,71470,-34527,224.998,swipe right
55.361,49.659,1696,1997,1810,3184.419,-56280,229810,-1377950,24331,5.702,swipe right
40.054,162.963,-545,167,678,885.775,144760,-341950,818300,-31440,-122.909,swipe right
5.031,-101.821,-18,-86,998,1001.86,8820,-2170,29890,27375,106.852,swipe right
65.571,-168.541,-1998,-405,926,2239.085,-31360,-26670,-24220,1885,234.112,swipe right
54.728,44.985,1998,1997,1998,3460.06,-8820,313320,-355110,7257,9.743,swipe right
42.477,-3.257,1107,-63,1211,1641.931,-9100,-302190,354480,2728,45.734,swipe right
4.965,3.077,93,5,1072,1076.038,2660,5950,54950,-6842,1.888,swipe right
53.562,-177.993,-1998,-70,1476,2485.051,-153650,5390,-311010,28483,231.555,swipe right
69.746,101.133,-393,1997,751,2169.437,157500,-166250,1770370,7375,-31.387,swipe right
54.668,-165.221,-652,-172,478,826.542,-7980,182700,-1453130,-3330,219.889,swipe right
17.434,-167.275,-310,-70,1012,1060.728,-3150,32900,27370,19073,184.709,swipe right
55.498,-179.341,-1740,-20,1196,2111.496,14770,-17150,-305340,23327,234.839,swipe right
71.526,51.123,1610,1997,857,2704.543,-12950,97510,1766730,-34895,20.403,swipe right
63.95,-168.781,-600,-119,299,680.853,-33880,-56560,-1359540,35929,232.731,swipe right
4.495,-81.674,12,-82,1054,1057.253,-2450,-490,-2170,-1662,86.169,swipe right
38.84,178.028,-1162,40,1444,1853.909,-28420,18130,131180,51562,-139.188,swipe right
54.755,44.985,1998,1997,1996,3458.905,77630,514920,-1669430,-31228,9.77,swipe right
28.494,11.777,753,157,1417,1612.311,182000,-517650,1171730,31226,16.717,swipe right
18.759,-174.207,-345,-35,1021,1078.281,4970,17290,39270,35527,192.966,swipe right
90.045,127.167,-1514,1997,-2,2506.034,-235340,-133560,-921270,-45825,-37.122,swipe right
116.299,171.479,-1949,292,-974,2198.304,60620,52640,374990,13515,-55.18,swipe right
5.95,-71.35,27,-80,810,814.388,178990,60690,494060,-2456,77.3,swipe right
18.933,179.373,-366,4,1067,1128.034,-13230,21140,49420,17026,-160.44,swipe right
64.452,154.173,-1998,967,1061,2460.246,-81900,-190680,-528640,16421,-89.721,swipe right
54.728,135.014,-1998,1997,1998,3460.06,212800,-185360,2227820,5338,-80.286,swipe right
9.028,-152.525,-150,-78,1064,1077.348,-116480,357630,-1787660,-40720,161.553,swipe right
7.804,-178.09,-180,-6,1314,1326.285,-70490,65940,41230,42808,185.894,swipe right
81.686,143.12,-1998,1499,365,2524.327,8680,-80780,-692510,-35458,-61.434,swipe right
54.728,135.014,-1998,1997,1998,3460.06,-12320,-129430,2331420,-7002,-80.286,swipe right
4.885,-48.048,80,-89,1400,1405.105,92050,154210,-1738380,29103,52.933,swipe right
34.471,-171.469,-700,-105,1031,1250.594,-3010,56630,55930,28780,205.94,swipe right
89.349,109.06,-690,1997,24,2112.98,-99610,-207550,-1033480,20266,-19.711,swipe right
83.813,171.488,-1998,299,219,2032.084,-87710,268030,776160,-41262,-87.675,swipe right
8.471,-125.803,-88,-122,1010,1021.14,176610,-100310,182070,2303,134.274,swipe right
27.305,-169.026,-557,-108,1099,1236.816,0,6230,-53130,1689,196.331,swipe right
79.272,120.156,-1119,1926,422,2267.095,-148750,-162190,-730450,29192,-40.884,swipe right
56.421,138.318,-1998,1779,1776,3211.077,-257460,182070,1856820,-19750,-81.897,swipe right
5.282,-58.94,53,-88,1111,1115.739,412300,-48510,-1188530,3360,64.222,swipe right
2.883,-134.236,-37,-38,1053,1054.334,-5180,10850,30660,32376,137.119,swipe right
60.454,-175.507,-1998,-157,1136,2303.725,-59150,16380,-147280,-33646,235.961,swipe right
82.557,44.985,1998,1997,369,2848.889,-114170,229250,-503440,22028,37.572,swipe right
56.289,15.759,1467,414,1017,1832.422,432530,-145670,7630,-10690,40.53,swipe right
37.445,-175.914,-854,-61,1118,1408.176,-10500,37030,81410,8218,213.359,swipe right
97.407,126.263,-1465,1997,-322,2497.582,-213640,-289800,-1142260,4266,-28.856,swipe right
