sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
1,10000000,844.058,33.11,-179.005,-125,-95,1024,1035.966,3290,-5250,-5180,8075,-191.908,24.394,-36.24,30,-1,1118,31.474,3570,-1540,-2310,3377,swipe left
2,10000000,2285.946,53.74,104.066,-461,-8,707,844.058,-11620,-61040,-8260,62682,1441.888,20.63,283.071,-336,87,802,-191.908,-14910,-55790,-3080,54607,swipe left
3,10000000,2287.498,52.674,0.346,-448,1788,1352,2285.946,-50750,46270,486150,23240,1.552,-1.066,-103.72,13,1796,1360,1441.888,-39130,107310,494410,-39442,swipe left
4,10000000,901.226,7.747,-145.394,1819,-11,1387,2287.498,100170,52850,-266910,49635,-1386.272,-44.927,-145.74,2267,-1799,-401,1.552,150920,6580,-753060,26395,swipe left
10,11000000,1003.13,18.731,175.192,-205,-23,1007,1027.911,1400,-3780,-2870,4948,-24.781,7.154,348.79,-19,19,1049,8.911,980,-980,-140,1015,swipe left
11,11000000,2986.789,71.048,135.014,-321,27,950,1003.13,9030,1190,-21490,23340,1983.659,52.317,-40.178,-116,50,973,-24.781,7630,4970,-18620,18392,swipe left
12,11000000,2270.931,40.687,-1.47,-1998,1997,970,2986.789,-8330,-65100,95760,24340,-715.858,-30.361,-136.484,-1677,1970,943,1983.659,-17360,-66290,117250,1000,swipe left
13,11000000,1081.044,16.222,-179.43,1480,-38,1722,2270.931,-8960,22750,-35420,43039,-1189.887,-24.465,-177.96,3478,-2035,-275,-715.858,-630,87850,-131180,18699,swipe left
18,12000000,1091.163,10.175,-55.568,-180,-32,1003,1019.525,-5040,-3500,-11550,13078,71.638,-0.155,114.351,8,-28,1007,3.965,-10780,9380,210,-5283,swipe left
19,12000000,2865.549,80.336,135.014,109,-159,1074,1091.163,4900,-17010,-81480,51549,1774.386,70.161,190.582,289,-127,1106,71.638,9940,-13510,-69930,38471,swipe left
20,12000000,2227.552,44.529,0.733,-1998,1997,481,2865.549,4340,-69440,-113890,25135,-637.997,-35.807,-134.281,-2107,2156,640,1774.386,-560,-52430,-32410,-26414,swipe left
21,12000000,1152.467,22.853,177.054,1562,-20,1588,2227.552,-17570,12320,-32480,38928,-1075.085,-21.676,176.321,3560,-2017,-409,-637.997,-21910,81760,81410,13793,swipe left
26,13000000,923.225,27.888,176.415,-215,-55,1003,1027.258,-1050,-5040,-2380,5671,-104.033,15.412,342.065,-33,-12,1046,-4.826,-420,-1750,-630,1892,swipe left
27,13000000,3338.39,57.798,135.014,-431,27,816,923.225,13230,-9800,-42630,45698,2415.165,29.91,-41.401,-216,82,871,-104.033,14280,-4760,-40250,40027,swipe left
28,13000000,2415.96,52.492,-3.47,-1998,1997,1779,3338.39,7420,-82740,215320,41521,-922.43,-5.306,-138.484,-1567,1970,1752,2415.165,-5810,-72940,257950,-4177,swipe left
29,13000000,1156.063,28.496,177.402,1913,-116,1471,2415.96,6230,24920,-83090,57173,-1259.897,-23.996,180.872,3911,-2113,-526,-922.43,-1190,107660,-298410,15652,swipe left
34,14000000,876.306,18.912,179.193,-212,-37,1004,1026.805,-700,-4410,-6230,7664,-150.499,6.814,349.292,-55,15,1056,21.113,-560,-1890,-5040,4874,swipe left
35,14000000,3041.864,65.073,133.619,-284,4,829,876.306,27580,6930,-47950,55748,2165.558,46.161,-45.574,-72,41,866,-150.499,28280,11340,-41720,48084,swipe left
36,14000000,2825.957,45.007,-1.29,-1903,1997,1282,3041.864,-107940,-71470,537390,24583,-215.907,-20.066,-134.909,-1619,1993,1278,2165.558,-135520,-78400,585340,-31165,swipe left
37,14000000,1224.175,49.008,174.659,1998,-45,1998,2825.957,9590,18130,-145530,11171,-1601.782,4.001,175.949,3901,-2042,1,-215.907,117530,89600,-682920,-13412,swipe left
42,15000000,1079.78,12.298,-126.869,-191,-74,977,998.241,-350,-5950,-5320,7989,81.539,0.458,31.952,-42,10,1061,-37.973,-910,-2730,1260,643,swipe left
43,15000000,3317.248,58.383,135.014,-138,-184,1055,1079.78,3500,-7630,-24360,25765,2237.468,46.085,261.883,53,-110,1129,81.539,3850,-1680,-19040,17776,swipe left
44,15000000,2771.423,46.406,-5.489,-1998,1997,1739,3317.248,106750,-1120,-27860,59858,-545.825,-11.977,-140.503,-1860,2181,1923,2237.468,103250,6510,-3500,34093,swipe left
45,15000000,1286.959,32.451,174.182,1998,-192,1911,2771.423,-18200,11690,-58100,61996,-1484.464,-13.955,179.671,3996,-2189,-86,-545.825,-124950,12810,-30240,2138,swipe left
50,16000000,956.369,30.622,-178.588,-165,-64,1005,1020.463,-280,-4200,-7560,8652,-64.094,20.635,-19.789,27,-2,1067,7.173,1610,840,-4970,2679,swipe left
51,16000000,3440.548,54.498,44.493,-487,-12,823,956.369,20370,20930,-42280,51386,2484.179,23.876,223.081,-322,52,887,-64.094,20650,25130,-34720,42734,swipe left
52,16000000,2846.704,45.423,9.824,1998,1963,1998,3440.548,-328580,-72590,676060,57927,-593.844,-9.075,-34.669,2485,1975,2010,2484.179,-348950,-93520,718340,6541,swipe left
53,16000000,998.125,19.131,175.265,1998,346,1998,2846.704,289870,120680,-447370,48738,-1848.579,-26.292,165.441,0,-1617,35,-593.844,618450,193270,-1123430,-9189,swipe left
58,17000000,1070.404,9.732,-156.551,-149,-72,1002,1015.573,-210,-6230,-11130,12756,54.831,0.355,-2.342,54,-13,1061,2.276,350,840,-6930,4514,swipe left
59,17000000,2879.088,101.134,135.014,-166,-72,1055,1070.404,15960,210,-33250,36882,1808.684,91.402,291.565,-17,0,1127,54.831,16170,6440,-22120,24126,swipe left
60,17000000,2042.411,34.261,-7.495,-1998,1997,-556,2879.088,44310,10710,163590,55407,-836.677,-66.873,-142.509,-1832,2069,-484,1808.684,28350,10500,196840,18525,swipe left
61,17000000,1028.228,15.672,-164.762,1140,-150,1688,2042.411,-13720,-15750,53060,57023,-1014.183,-18.589,-157.267,3138,-2147,-309,-836.677,-58030,-26460,-110530,1616,swipe left
66,18000000,1068.917,28.988,-179.336,-213,-72,989,1014.235,-2800,-4690,-3780,6642,54.682,16.181,-18.013,9,-3,1058,-26.073,-2590,1050,1190,-953,swipe left
67,18000000,2838.66,45.263,-7.752,-518,-6,935,1068.917,3850,-1540,-29120,29413,1769.743,16.275,171.584,-305,66,1007,54.682,6650,3150,-25340,22771,swipe left
68,18000000,2829.362,93.221,135.014,1998,-272,1998,2838.66,18760,98420,-196490,37444,-9.298,47.958,142.766,2516,-266,2004,1769.743,14910,99960,-167370,8031,swipe left
69,18000000,1826.597,42.579,-6.877,-1998,1997,-159,2829.362,-64190,-61880,-260120,50965,-1002.765,-50.642,-141.891,-3996,2269,113,-9.298,-82950,-160300,-63630,13521,swipe left
74,19000000,1029.249,23.483,165.455,-269,-48,955,993.322,3080,-6860,-12040,14195,35.927,7.516,335.337,-43,6,1009,-9.956,5460,-2240,-8750,8045,swipe left
75,19000000,3034.415,68.583,135.014,-397,103,944,1029.249,60480,71960,-175000,28396,2005.166,45.1,-30.441,-128,151,992,35.927,57400,78820,-162960,14201,swipe left
76,19000000,2444.897,54.694,-7.313,-1998,1997,1108,3034.415,770,-26460,41510,49232,-589.518,-13.889,-142.327,-1601,1894,1005,2005.166,-59710,-98420,216510,20836,swipe left
77,19000000,1018.012,31.499,-175.146,1979,-254,1413,2444.897,-4970,17990,-10780,21553,-1426.885,-23.195,-167.833,3977,-2251,-584,-589.518,-5740,44450,-52290,-27679,swipe left
82,10000000,1004.678,37.129,164.015,-583,167,801,1004.678,14070,5390,-64120,6589,-70.258,31.636,18.323,-498,109,743,-70.258,17430,10150,-52920,-6035,swipe left
83,10000000,3212.141,51.536,37.439,1997,1529,1998,3212.141,-157640,2450,454930,64687,2207.463,14.407,-126.576,2580,1362,1831,2207.463,-171710,-2940,519050,58098,swipe left
84,10000000,2867.76,45.836,-13.894,1997,-494,1998,2867.76,139300,77350,-286790,16181,-344.381,-5.7,-51.333,0,-2023,469,-344.381,296940,74900,-741720,-48506,swipe left
85,10000000,1395.786,45.805,173.343,-994,116,973,1395.786,-15400,9800,19180,26477,-1471.974,-0.031,187.237,-2991,610,1467,-1471.974,-154700,-67550,305970,10296,swipe left
90,11000000,1043.188,30.806,169.321,-525,99,896,1043.188,10710,-4340,-33810,35730,-35.639,27.471,11.801,-467,75,872,-35.639,6090,-490,-25620,25570,swipe left
91,11000000,2847.36,45.436,10.135,1997,357,1998,2847.36,-58520,18550,221620,36667,1804.172,14.63,-159.186,2522,258,1899,1804.172,-69230,22890,255430,937,swipe left
92,11000000,2284.766,119.066,90.2,-7,1997,-1110,2284.766,210770,239190,-799120,38655,-562.594,73.63,80.065,-2004,1640,-1467,-562.594,269290,220640,-1020740,1988,swipe left
93,11000000,1226,35.988,165.037,-696,186,992,1226,6790,-39620,84140,10269,-1058.766,-83.078,74.837,-689,-1811,-1005,-1058.766,-203980,-278810,883260,-28386,swipe left
98,12000000,894.106,6.126,128.19,-59,75,889,894.106,4970,8470,-59850,60650,-132.824,-10.303,-40.693,226,19,833,-132.824,-140,9380,-48790,48433,swipe left
99,12000000,2944.02,47.26,22.544,1997,829,1998,2944.02,-107100,-49000,311640,60139,2049.914,41.134,-105.646,2056,754,1923,2049.914,-112070,-57470,371490,-511,swipe left
100,12000000,2434.823,124.84,92.122,-74,1997,-1391,2434.823,-108990,134750,-784770,40684,-509.197,77.58,69.578,-2071,1168,-2220,-509.197,-1890,183750,-1096410,-19455,swipe left
101,12000000,1424.924,9.831,74.992,63,235,1404,1424.924,-9520,-27300,71890,41341,-1009.899,-115.009,-17.13,137,-1762,-593,-1009.899,99470,-162050,856660,657,swipe left
106,13000000,932.346,27.5,-177.204,-242,-88,994,1026.812,840,-3640,-7560,8432,-94.466,12.977,-17.188,-20,-19,1063,9.883,140,-1540,-3920,4172,swipe left
107,13000000,2841.068,66.409,45.404,-430,-21,827,932.346,28000,8890,-95410,37096,1908.722,38.909,222.608,-188,67,915,-94.466,27160,12530,-87850,28664,swipe left
108,13000000,2829.265,45.074,-4.122,1828,1854,1137,2841.068,-203070,-24220,559580,52597,-11.803,-21.335,-49.526,2258,1875,1158,1908.722,-231070,-33110,654990,15501,swipe left
109,13000000,1077.993,51.64,-178.508,1998,-144,1998,2829.265,117180,28210,-328230,44752,-1751.272,6.566,-174.386,170,-1998,144,-11.803,320250,52430,-887810,-7845,swipe left
114,14000000,1313.869,11.822,66.577,-217,-7,1029,1051.655,10920,-4270,-24150,26845,262.214,-0.092,244.729,9,43,1079,74.836,11900,2240,-23100,20179,swipe left
115,14000000,2863.395,80.593,135.014,107,247,1286,1313.869,84700,127120,-202510,64917,1549.526,68.771,68.437,324,254,1293,262.214,73780,131390,-178360,38072,swipe left
116,14000000,2539.837,52.219,-5.545,-1998,1997,468,2863.395,-343770,-307930,644350,33472,-323.558,-28.374,-140.559,-2105,1750,221,1549.526,-428470,-435050,846860,-31445,swipe left
117,14000000,1125.479,32.991,177.006,1998,-194,1556,2539.837,13510,11620,-177450,41728,-1414.358,-19.228,182.551,3996,-2191,-441,-323.558,357280,319550,-821800,8256,swipe left
122,15000000,991.279,23.94,-178.005,-301,-52,1006,1051.351,-2660,-9520,-20440,22704,-60.072,7.05,-7.807,-97,15,1073,8.017,-910,-5180,-16590,16645,swipe left
123,15000000,2572.59,60.776,62.807,-402,-14,906,991.279,23240,3150,-91980,20503,1581.311,36.836,240.812,-101,38,958,-60.072,25900,12670,-71540,-2201,swipe left
124,15000000,2844.919,45.387,-9.406,1026,1997,1256,2572.59,-210420,-85330,767620,29122,272.329,-15.389,-72.213,1428,2011,1270,1581.311,-233660,-88480,859600,8619,swipe left
125,15000000,1242.539,49.315,178.722,1998,-331,1998,2844.919,54950,31360,-165270,35388,-1602.38,3.928,188.128,972,-2328,1,272.329,265370,116690,-932890,6266,swipe left
130,16000000,1067.258,34.835,177.367,-284,-55,993,1034.277,2100,-6160,-16590,17820,32.981,18.594,346.406,-58,13,1061,12.644,490,-1260,-3220,3490,swipe left
131,16000000,2915.149,46.734,19.74,-609,28,876,1067.258,28910,13440,-80010,55884,1847.891,11.899,-157.627,-325,83,931,32.981,26810,19600,-63420,38064,swipe left
132,16000000,1961.463,81.822,82.988,1998,717,1998,2915.149,-107310,98210,237510,16193,-953.686,35.088,63.248,2607,689,1970,1847.891,-136220,84770,317520,-39691,swipe left
133,16000000,903.851,9.288,151.326,237,1927,279,1961.463,117250,-13720,-717710,27612,-1057.612,-72.534,68.338,-1761,1210,-438,-953.686,224560,-111930,-955220,11419,swipe left
138,17000000,984.957,11.259,-176.721,-208,-61,1001,1024.2,910,-7980,-14000,16140,-39.243,-0.959,-13.066,-53,25,1087,0.733,70,-3290,-6300,7086,swipe left
139,17000000,2859.805,45.681,12.446,-192,-11,966,984.957,35560,33600,-109130,37655,1874.848,34.422,189.167,16,50,1027,-39.243,34650,41580,-95130,21515,swipe left
140,17000000,3011.982,110.3,135.014,1998,441,1998,2859.805,-126910,166740,148750,40130,152.177,64.619,122.568,2190,452,2009,1874.848,-162470,133140,257880,2475,swipe left
141,17000000,1265.561,28.328,4.106,-1998,1997,-1045,3011.982,101570,-1330,-624750,34624,-1746.421,-81.972,-130.908,-3996,1556,-1486,152.177,228480,-168070,-773500,-5506,swipe left
145,18000000,961.549,6.691,-178.465,-246,4,1007,1036.619,-770,-3290,-5390,6361,-75.07,-7.038,-357.533,-45,-6,997,49.879,1260,1890,-6230,735,swipe left
146,18000000,3251.604,58.126,43.65,-112,-3,955,961.549,6440,-6440,-18760,20853,2290.055,51.435,222.115,134,-7,951,-75.07,7210,-3150,-13370,14492,swipe left
147,18000000,2743.197,47.564,9.294,1998,1906,1717,3251.604,-235830,255640,436030,43036,-508.407,-10.562,-34.356,2110,1909,1720,2290.055,-242270,262080,454790,22183,swipe left
148,18000000,927.185,7.137,166.446,1998,327,1851,2743.197,171570,161280,-491470,25249,-1816.012,-40.427,157.152,0,-1579,-55,-508.407,407400,-94360,-927500,-17787,swipe left
153,19000000,1026.741,12.603,163.668,-416,25,933,1021.846,5530,-25060,7000,26600,4.895,-11.466,-12.892,-252,-1,907,-33.301,980,-20930,12320,18473,swipe left
154,19000000,2370.623,57.949,83.656,-215,63,1002,1026.741,7630,10780,-36050,38393,1343.882,45.346,-80.012,201,38,977,4.895,2100,35840,-43050,11793,swipe left
155,19000000,2830.889,45.106,4.948,222,1997,1258,2370.623,-113680,-89530,613550,47385,460.266,-12.843,-78.708,437,1934,1195,1343.882,-121310,-100310,649600,8992,swipe left
