id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
10000000,1000.834,6.189,-57.488,58,-91,995,1000.834,-1960,3290,16940,17367,20.102,-2.295,-8.004,-36,19,1105,20.102,1750,6090,17640,12667,swipe right
10000000,2582.245,52.415,-167.525,-1998,-442,1575,2582.245,-41300,11970,-34370,55047,1581.411,46.226,-110.037,-2056,-351,1666,1581.411,-39340,8680,-51310,37680,swipe right
10000000,3046.994,67.988,44.985,1998,1997,1142,3046.994,94290,13580,319060,59161,464.749,15.573,212.51,3996,2439,1584,464.749,135590,1610,353430,4114,swipe right
10000000,1315.463,47.483,-168.759,-951,-189,889,1315.463,420,-4340,14910,15534,-1731.531,-20.505,-213.744,-2949,-2186,-1108,-1731.531,-93870,-17920,-304150,-43627,swipe right
11000000,1034.628,13.976,-23.589,229,-100,1004,1034.628,-2450,-2590,14210,14650,21.386,4.358,27.645,123,32,1136,21.386,-2030,-770,12810,12316,swipe right
11000000,2828.496,45.058,-176.334,-1998,-128,1998,2828.496,-59500,-47670,-238350,49938,1793.868,31.082,-152.745,-2227,-28,2098,1793.868,-57050,-45080,-252560,35288,swipe right
11000000,2890.849,77.737,44.985,1998,1997,614,2890.849,137060,6580,755440,33283,62.353,32.679,221.319,3996,2125,742,62.353,196560,54250,993790,-16655,swipe right
11000000,1658.933,38.737,-164.638,-1001,-275,1294,1658.933,15610,14070,-70420,33251,-1231.916,-39,-209.623,-2999,-2272,-703,-1231.916,-121450,7490,-825860,-32,swipe right
12000000,1087.67,8.032,-50.339,97,-117,1077,1087.67,490,-2590,16380,16590,33.08,0.714,15.958,43,6,1200,33.08,2660,420,13230,11723,swipe right
12000000,2512.613,53.629,-170.956,-1998,-318,1490,2512.613,-7070,-14910,-62790,64922,1424.943,45.597,-120.617,-2095,-201,1607,1424.943,-7560,-12320,-79170,48332,swipe right
12000000,3001.705,70.236,44.985,1998,1997,1015,3001.705,130200,-82880,766360,35262,489.092,16.607,215.941,3996,2315,1333,489.092,137270,-67970,829150,-29660,swipe right
12000000,1137.605,12.415,176.014,-244,17,1111,1137.605,13370,27930,-79940,55265,-1864.1,-57.821,131.029,-2242,-1980,-886,-1864.1,-116830,110810,-846300,20003,swipe right
13000000,1107.541,21.846,-1.529,412,-11,1028,1107.541,5670,-7490,50190,51061,60.039,13.348,72.728,370,138,1177,60.039,4900,-4410,39690,40092,swipe right
13000000,2235.068,67.952,105.424,-551,1997,839,2235.068,-208110,211890,-904050,59752,1127.527,46.106,106.953,-963,2008,850,1127.527,-213780,219380,-954240,8691,swipe right
13000000,2735.22,49.04,-165.304,-1998,-524,1793,2735.22,-770,-131670,237230,24519,500.152,-18.912,-270.728,-1447,-2521,-204,500.152,207340,-343560,1141280,-35233,swipe right
13000000,969.021,25.171,-9.073,407,-65,877,969.021,-2030,-37730,-14490,40467,-1766.199,-23.869,156.231,2405,459,1401,-1766.199,-1260,93940,-251720,15948,swipe right
14000000,1039.664,7.818,4.46,141,11,1030,1039.664,140,140,53970,53970,53.226,-0.524,61.436,63,131,1150,53.226,770,5530,40950,39865,swipe right
14000000,3089.286,52.351,144.77,-1998,1411,1887,3089.286,-136150,51870,-661920,64022,2049.622,44.533,140.31,-2139,1400,1876,2049.622,-136290,51730,-715890,10052,swipe right
14000000,3014.035,48.478,-152.299,-1998,-1049,1998,3014.035,60270,-107450,313250,40427,-75.251,-3.873,-297.069,0,-2460,587,-75.251,196420,-159320,975170,-23595,swipe right
14000000,1159.062,29.075,-1.729,563,-17,1013,1159.062,-13370,-13230,-15190,24176,-1854.973,-19.403,150.57,2561,1032,2062,-1854.973,-73640,94220,-328440,-16251,swipe right
15000000,1057.346,6.758,-76.522,29,-121,1050,1057.346,1820,-3150,16590,16984,37.834,-1.477,-1.606,-9,20,1191,37.834,5460,-560,10920,9766,swipe right
15000000,2498.32,53.129,-178.537,-1998,-51,1499,2498.32,1050,-51870,48020,26505,1440.974,46.371,-102.015,-2027,70,1620,1440.974,-770,-48720,31430,9521,swipe right
15000000,3328.304,58.075,44.985,1998,1997,1760,3328.304,85260,9030,418180,42856,829.984,4.946,223.522,3996,2048,1811,829.984,84210,60900,370160,16351,swipe right
15000000,1205.432,24.829,-178.415,-506,-14,1094,1205.432,29960,7000,-48860,57739,-2122.872,-33.246,-223.4,-2504,-2011,-903,-2122.872,-55300,-2030,-467040,14883,swipe right
16000000,1057.121,17.713,-21.139,300,-116,1007,1057.121,280,-6930,17850,19150,26.298,8.32,44.276,230,37,1160,26.298,1190,-4690,19390,16284,swipe right
16000000,2584.647,53.593,163.838,-1998,579,1534,2584.647,-23590,24500,-432950,62600,1527.526,35.88,184.977,-2298,695,1650,1527.526,-23870,31430,-450800,43450,swipe right
16000000,2221.202,72.362,109.367,-702,1997,673,2221.202,55580,-162610,738850,64806,-363.445,18.769,-54.471,1296,1418,94,-363.445,79170,-187110,1171800,2206,swipe right
16000000,1311.757,35.267,11.576,742,152,1071,1311.757,-9870,-16310,-83860,55686,-909.445,-37.095,-97.791,1444,-1845,-926,-909.445,-65450,146300,-822710,-9120,swipe right
17000000,1051.016,6.133,-61.837,53,-99,1045,1051.016,350,-980,20720,20746,41.832,-0.707,8.22,12,14,1158,41.832,6860,2660,10360,7981,swipe right
17000000,2811.019,45.307,-178.967,-1998,-36,1977,2811.019,-21000,27510,-312690,13732,1760.003,39.174,-117.13,-2051,63,2076,1760.003,-21350,28490,-333410,-7014,swipe right
17000000,3012.133,52.803,123.663,-1330,1997,1821,3012.133,328300,-177590,983850,58934,201.114,7.496,302.63,668,2033,1857,201.114,349300,-205100,1296540,45202,swipe right
17000000,1119.008,15.367,-176.52,-296,-18,1079,1119.008,-2730,35140,-81550,59980,-1893.125,-37.436,-300.183,1034,-2015,-918,-1893.125,-331030,212730,-1065400,1046,swipe right
18000000,1374.044,23.716,177.199,-552,27,1258,1374.044,15890,-13300,60340,63798,409.768,14.564,233.094,-638,154,1385,409.768,13510,-10080,55720,57685,swipe right
18000000,2579.181,66.97,57.28,1283,1997,1009,2579.181,-186060,189280,-836710,41589,1205.137,43.254,-119.919,1835,1970,982,1205.137,-201950,202580,-897050,-22209,swipe right
18000000,2631.864,50.19,-171.208,-1998,-309,1685,2631.864,-25410,-39830,74480,59028,52.683,-16.78,-228.488,-3281,-2306,-312,52.683,160650,-229110,911190,17439,swipe right
18000000,1074.986,34.492,-10.793,598,-114,886,1074.986,10430,-13580,-17010,24135,-1556.878,-15.698,160.415,2596,195,1195,-1556.878,35840,26250,-91490,-34893,swipe right
19000000,673.71,11.147,97.943,-18,129,661,673.71,7070,25410,98140,41679,-340.397,-0.281,144.959,-155,276,808,-340.397,10010,30100,85610,27981,swipe right
19000000,3436.548,55.286,44.985,1998,1997,1957,3436.548,-149240,113260,-898170,65506,2762.838,44.139,-52.958,2016,1868,1828,2762.838,-156310,87850,-996310,23827,swipe right
19000000,2825.684,45.001,-179.369,-1998,-22,1998,2825.684,7140,-76860,256340,54306,-610.864,-10.285,-224.354,-3996,-2019,1,-610.864,156380,-190120,1154510,-11200,swipe right
19000000,1166.132,32.179,-7.308,616,-79,987,1166.132,2100,-2380,-4200,5264,-1659.552,-12.822,172.061,2614,-57,1009,-1659.552,-5040,74480,-260540,-49042,swipe right